County,State,Republic,Democrate,Win
Charlestown County,RI,0.423,0.56,D
Charlestown County,NH,0.499,0.478,R
Charlevoix County,MI,0.579,0.408,R
Charlotte County,VT,0.177,0.79,D
Charlotte County,VA,0.617,0.375,R
Charlotte County,FL,0.628,0.363,R
Charlottesville city County,VA,0.128,0.859,D
Charlton County,GA,0.749,0.242,R
Charlton County,MA,0.519,0.448,R
Chase County,NE,0.873,0.113,R
Chase County,KS,0.754,0.231,R
Chatham County,MA,0.365,0.608,D
Chatham County,NH,0.533,0.434,R
Chatham County,NC,0.436,0.552,D
Chatham County,GA,0.399,0.587,D
Chattahoochee County,GA,0.553,0.419,R
Chattooga County,GA,0.802,0.184,R
Chautauqua County,KS,0.855,0.13,R
Chautauqua County,NY,0.645,0.335,R
Chaves County,NM,0.698,0.284,R
Cheatham County,TN,0.713,0.272,R
Cheboygan County,MI,0.642,0.343,R
Chelan County,WA,0.53,0.448,R
Chelmsford County,MA,0.35,0.621,D
Chelsea County,MA,0.209,0.774,D
Chelsea County,ME,0.587,0.387,R
Chelsea County,VT,0.393,0.559,D
Chemung County,NY,0.613,0.366,R
Chenango County,NY,0.681,0.297,R
Cherokee County,GA,0.688,0.295,R
Cherokee County,SC,0.714,0.276,R
Cherokee County,NC,0.769,0.218,R
Cherokee County,TX,0.774,0.216,R
Cherokee County,IA,0.691,0.298,R
Cherokee County,AL,0.86,0.132,R
Cherokee County,OK,0.634,0.34,R
Cherokee County,KS,0.74,0.242,R
Cherry County,NE,0.871,0.114,R
Cherryfield County,ME,0.648,0.329,R
Chesapeake city County,VA,0.459,0.524,D
Cheshire County,MA,0.401,0.58,D
Cheshire County,CT,0.422,0.559,D
Chester County,MA,0.558,0.421,R
Chester County,CT,0.329,0.655,D
Chester County,TN,0.785,0.186,R
Chester County,VT,0.349,0.614,D
Chester County,NH,0.562,0.422,R
Chester County,PA,0.408,0.576,D
Chester County,SC,0.55,0.441,R
Chesterfield County,NH,0.401,0.581,D
Chesterfield County,VA,0.459,0.526,D
Chesterfield County,SC,0.598,0.394,R
Chesterfield County,MA,0.35,0.622,D
Cheyenne County,NE,0.8,0.179,R
Cheyenne County,CO,0.874,0.115,R
Cheyenne County,KS,0.827,0.157,R
Chichester County,NH,0.536,0.444,R
Chickasaw County,IA,0.651,0.337,R
Chickasaw County,MS,0.512,0.468,R
Chicopee County,MA,0.413,0.562,D
Chicot County,AR,0.428,0.55,D
Childress County,TX,0.853,0.135,R
Chilmark County,MA,0.121,0.864,D
Chilton County,AL,0.833,0.159,R
China County,ME,0.539,0.427,R
Chippewa County,MN,0.643,0.337,R
